,cod,descr,per,anoinicio,unidade
177,187,Depósitos especiais remunerados - Circular 2369,"""M""",1993,"""u.m.c. (mil)"""
178,188,Índice nacional de preços ao consumidor (INPC),"""M""",1979,"""Var. % mensal"""
179,189,Índice geral de preços do mercado (IGP-M),"""M""",1989,"""Var. % mensal"""
180,190,Índice geral de preços-disponibilidade interna (IGP-DI),"""M""",1944,"""Var. % mensal"""
181,191,Índice de preços ao consumidor-Brasil (IPC-Br),"""M""",1990,"""Var. % mensal"""
182,192,Índice nacional de custo da construção (INCC),"""M""",1944,"""Var. % mensal"""
183,193,Índice de preços ao consumidor-São Paulo (IPC-Fipe),"""M""",1939,"""Var. % mensal"""
184,194,Índice de custo de vida (ICV),"""M""",1993,"""Var. % mensal"""
185,195,Depósitos de poupança a partir de 04.05.2012 - Rentabilidade no período,"""D""",2012,"""% a.m."""
186,196,Depósitos de poupança a partir de 04.05.2012 - Rentabilidade no período (1º dia do mês),"""M""",2012,"""% a.m."""
187,204,Depósitos de poupança a partir de 04.05.2012 - Rentabilidade adicional no período,"""D""",2012,"""% a.m."""
188,206,Cesta básica,"""M""",1990,"""u.m.c."""
189,207,Poupança SBPE - Exigibilidades,"""M""",1992,"""u.m.c. (mil)"""
190,208,Poupança SBPE - Aplicações,"""M""",1992,"""u.m.c. (mil)"""
191,209,Poupança rural - Exigibilidades,"""M""",1991,"""u.m.c. (mil)"""
192,210,Poupança rural - Aplicações,"""M""",1991,"""u.m.c. (mil)"""
193,212,Fundo de aplicações financeiras - Aplicações em títulos do Banco Central,"""M""",1991,"""u.m.c. (mil)"""
194,213,Fundo de renda fixa-curto prazo - Patrimônio líquido,"""D""",1994,"""u.m.c. (mil)"""
195,214,Fundo de renda fixa-curto prazo - Captação líquida,"""D""",1994,"""u.m.c. (mil)"""
196,215,Fundo de renda fixa-curto prazo - Rentabilidade diária (%),"""D""",1994,"""% a.d."""
197,216,Fundo de renda fixa-curto prazo - Aplicações em depósitos obrigatórios,"""M""",1994,"""u.m.c. (mil)"""
198,217,Fundo de renda fixa-curto prazo - Aplicações em operações compromissadas,"""M""",1994,"""u.m.c. (mil)"""
199,218,Fundo de renda fixa-curto prazo - Aplicações em quotas FIEX,"""M""",1994,"""u.m.c. (mil)"""
200,219,Fundo de renda fixa-curto prazo - Aplicações em títulos do Tesouro Nacional,"""M""",1994,"""u.m.c. (mil)"""
201,220,Fundo de renda fixa-curto prazo - Aplicações em títulos do Banco Central,"""M""",1994,"""u.m.c. (mil)"""
202,221,Fundo de renda fixa-curto prazo - Aplicações em títulos privados,"""M""",1994,"""u.m.c. (mil)"""
203,222,Fundo de renda fixa-curto prazo - Aplicações em títulos estaduais e municipais,"""M""",1994,"""u.m.c. (mil)"""
204,225,Índice de preços ao produtor amplo,"""M""",1944,"""Var. % mensal"""
205,226,Taxa de juros - Taxa Referencial (TR),"""D""",1991,"""% a.m."""
206,227,Taxa de juros - Taxa Referencial (TRD/TR) pro-rata,"""D""",1991,"""% a.d."""
207,228,Taxa de juros - Índice diário de remuneração médio (IDRM),"""D""",1994,"""A definir"""
208,229,Índice de preços ao consumidor-série r (IPC-r),"""M""",1994,"""Var. % mensal"""
209,230,Fundo de comodities - Aplicações em direitos creditórios cotas-partes,"""M""",1992,"""u.m.c. (mil)"""
210,231,Fundo de comodities - Aplicações em quotas FIEX,"""M""",1992,"""u.m.c. (mil)"""
211,232,Fundo de comodities - Outras aplicações,"""M""",1992,"""u.m.c. (mil)"""
212,233,Fundo de investimento-capital estrangeiro - Patrimônio líquido,"""D""",1993,"""u.m.c. (mil)"""
213,234,Fundo de investimento-capital estrangeiro - Captação líquida,"""D""",1993,"""u.m.c. (mil)"""
214,235,Fundo de investimento-capital estrangeiro - Rentabilidade diária (%),"""D""",1993,"""% a.d."""
215,236,Fundo de conversão-capital estrangeiro - Patrimônio líquido,"""D""",1993,"""u.m.c. (mil)"""
216,237,Fundo de conversão-capital estrangeiro - Captação líquida,"""D""",1993,"""u.m.c. (mil)"""
217,238,Fundo de conversão-capital estrangeiro - Rentabilidade diária (%),"""D""",1993,"""% a.d."""
218,239,Poupança SBPE - Saldos,"""D""",1991,"""u.m.c. (mil)"""
219,240,Poupança SBPE - Captação líquida,"""D""",1991,"""u.m.c. (mil)"""
220,241,Poupança rural - Saldos,"""D""",1991,"""u.m.c. (mil)"""
221,242,Poupança rural - Captação líquida,"""D""",1991,"""u.m.c. (mil)"""
222,243,Depósitos a prazo (CDB/RDB-pré-fixados) - Captação líquida,"""D""",1992,"""u.m.c. (mil)"""
223,244,Depósitos a prazo (CDB/RDB-pós-fixados) - Captação líquida,"""D""",1992,"""u.m.c. (mil)"""
224,245,Depósitos a prazo (CDB/RDB-pré-fixados) - Captação diária de instituições financeiras,"""D""",1992,"""u.m.c. (mil)"""
225,246,Depósitos a prazo (CDB/RDB-pré-fixados) - Captação diária de investidores institucionais,"""D""",1992,"""u.m.c. (mil)"""
226,247,Depósitos a prazo (CDB/RDB-pré-fixados) - Captação diária de pessoas jurídicas,"""D""",1992,"""u.m.c. (mil)"""
227,248,Depósitos a prazo (CDB/RDB-pré-fixados) - Captação diária de pessoas físicas,"""D""",1992,"""u.m.c. (mil)"""
228,249,Depósitos a prazo (CDB/RDB-pós-fixados) - Captação diária de instituições financeiras,"""D""",1992,"""u.m.c. (mil)"""
229,250,Depósitos a prazo (CDB/RDB-pós-fixados) - Captação diária de investidores institucionais,"""D""",1992,"""u.m.c. (mil)"""
230,251,Depósitos a prazo (CDB/RDB-pós-fixados) - Captação diária de pessoas jurídicas,"""D""",1992,"""u.m.c. (mil)"""
231,252,Depósitos a prazo (CDB/RDB-pós-fixados) - Captação diária de pessoas físicas,"""D""",1992,"""u.m.c. (mil)"""
232,253,Taxa de juros - Taxa Básica Financeira (TBF),"""D""",1995,"""% a.m."""
233,254,Taxa de juros - TBF pro rata,"""D""",1995,"""% a.d."""
234,256,Taxa de juros - TJLP,"""M""",1994,"""% a.a."""
235,257,Fundo de investimento financeiro - FIF CP - Patrimônio líquido,"""D""",1995,"""u.m.c. (mil)"""
236,258,Fundo de investimento financeiro - FIF CP - Captação líquida,"""D""",1995,"""u.m.c. (mil)"""
237,259,Fundo de investimento financeiro - FIF CP - Rentabilidade diária (%),"""D""",1995,"""% a.d."""
238,260,Fundo de investimento financeiro - FIF 30 - Patrimônio líquido,"""D""",1995,"""u.m.c. (mil)"""
239,261,Fundo de investimento financeiro - FIF 30 - Captação líquida,"""D""",1995,"""u.m.c. (mil)"""
240,262,Fundo de investimento financeiro - FIF 30 - Rentabilidade diária (%),"""D""",1995,"""% a.d."""
241,263,Fundo de investimento financeiro - FIF 60 - Patrimônio liquído,"""D""",1995,"""u.m.c. (mil)"""
242,264,Fundo de investimento financeiro - FIF 60 - Captação líquida,"""D""",1995,"""u.m.c. (mil)"""
243,265,Fundo de investimento financeiro - FIF 60 - Rentabilidade diária (%),"""D""",1995,"""% a.d."""
244,266,Fundo de investimento financeiro - FIF 90 - Patrimônio liquído,"""D""",1995,"""u.m.c. (mil)"""
245,267,Fundo de investimento financeiro - FIF 90 - Captação líquida,"""D""",1995,"""u.m.c. (mil)"""
