cod,descr
228,Taxa de juros - Índice diário de remuneração médio (IDRM)
229,Índice de preços ao consumidor-série r (IPC-r)
230,Fundo de comodities - Aplicações em direitos creditórios cotas-partes
231,Fundo de comodities - Aplicações em quotas FIEX
232,Fundo de comodities - Outras aplicações
233,Fundo de investimento-capital estrangeiro - Patrimônio líquido
234,Fundo de investimento-capital estrangeiro - Captação líquida
235,Fundo de investimento-capital estrangeiro - Rentabilidade diária (%)
236,Fundo de conversão-capital estrangeiro - Patrimônio líquido
237,Fundo de conversão-capital estrangeiro - Captação líquida
238,Fundo de conversão-capital estrangeiro - Rentabilidade diária (%)
239,Poupança SBPE - Saldos
240,Poupança SBPE - Captação líquida
241,Poupança rural - Saldos
242,Poupança rural - Captação líquida
243,Depósitos a prazo (CDB/RDB-pré-fixados) - Captação líquida
244,Depósitos a prazo (CDB/RDB-pós-fixados) - Captação líquida
245,Depósitos a prazo (CDB/RDB-pré-fixados) - Captação diária de instituições financeiras
246,Depósitos a prazo (CDB/RDB-pré-fixados) - Captação diária de investidores institucionais
247,Depósitos a prazo (CDB/RDB-pré-fixados) - Captação diária de pessoas jurídicas
248,Depósitos a prazo (CDB/RDB-pré-fixados) - Captação diária de pessoas físicas
249,Depósitos a prazo (CDB/RDB-pós-fixados) - Captação diária de instituições financeiras
250,Depósitos a prazo (CDB/RDB-pós-fixados) - Captação diária de investidores institucionais
251,Depósitos a prazo (CDB/RDB-pós-fixados) - Captação diária de pessoas jurídicas
252,Depósitos a prazo (CDB/RDB-pós-fixados) - Captação diária de pessoas físicas
253,Taxa de juros - Taxa Básica Financeira (TBF)
254,Taxa de juros - TBF pro rata
256,Taxa de juros - TJLP
257,Fundo de investimento financeiro - FIF CP - Patrimônio líquido
258,Fundo de investimento financeiro - FIF CP - Captação líquida
259,Fundo de investimento financeiro - FIF CP - Rentabilidade diária (%)
260,Fundo de investimento financeiro - FIF 30 - Patrimônio líquido
261,Fundo de investimento financeiro - FIF 30 - Captação líquida
262,Fundo de investimento financeiro - FIF 30 - Rentabilidade diária (%)
263,Fundo de investimento financeiro - FIF 60 - Patrimônio liquído
264,Fundo de investimento financeiro - FIF 60 - Captação líquida
